ID,Name,PurchasePrice,SellingPrice,Quantity,Type,AdditionalInfo1,AdditionalInfo2
TO13,Drone Summer,118000.0,163000.0,350,Toy,Rios and Sons,Cynthia Bailey
BO16,Biography Let,101000.0,126000.0,334,Book,"Chung, Chavez and Smith",Brandon King
BO17,Sci-Fi As,282000.0,397000.0,209,Book,"Mendez, Spencer and Baker",Eric Butler
BO18,History Most,144000.0,247000.0,495,Book,Little-Ross,Richard Salinas
BO19,Biography Life,343000.0,604000.0,14,Book,"Harrell, Fernandez and Parker",Maria Fuller
ST12,Tape Experience,132000.0,188000.0,355,Stationary,Harris PLC,James Nelson
BO20,Biography Green,43000.0,57000.0,75,Book,"Hodge, Arias and Bentley",Keith Johnson
ST13,Scissors Service,176000.0,214000.0,106,Stationary,Delacruz Ltd,Matthew Higgins
ST14,Notebook Writer,92000.0,110000.0,98,Stationary,Lane and Sons,Kenneth Hawkins
ST15,Marker Picture,83000.0,130000.0,89,Stationary,Love-Flowers,Raymond Johnson
TO14,Barbie Doll Week,472000.0,819000.0,91,Toy,Stewart-Brewer,George Smith
TO15,Drone Result,312000.0,542000.0,479,Toy,Howell-Mullins,Travis Sweeney
BO21,Fantasy Different,23000.0,40000.0,319,Book,"Gilbert, Williams and Rasmussen",Kevin Daniel
BO22,Fantasy New,79000.0,97000.0,50,Book,Scott Group,Sharon Contreras
BO23,Mystery Novel Still,73000.0,121000.0,427,Book,Walker LLC,Jonathan Glover
TO16,Lego Set There,213000.0,285000.0,45,Toy,Ross Group,Michelle Bowers
ST16,Stapler Here,136000.0,238000.0,96,Stationary,"Williams, Moore and Taylor",Katherine Cortez
BO24,Mystery Novel Newspaper,229000.0,369000.0,437,Book,Smith-Kelly,Jay Williams
BO25,History Television,396000.0,644000.0,277,Book,Johnson-Cannon,Linda Brooks
ST17,Notebook Resource,452000.0,773000.0,492,Stationary,Patterson Group,Stephanie Fleming
ST18,Tape Use,31000.0,46000.0,92,Stationary,Chang-Lewis,Mr. Tony Young
BO26,Mystery Novel Class,148000.0,190000.0,273,Book,Rollins-Bryan,Edward Lucero
ST19,Notebook Mr,339000.0,605000.0,196,Stationary,"Frank, Berry and Mcdaniel",Bradley Mckee
TO17,Drone Institution,98000.0,140000.0,227,Toy,"Dixon, Hughes and Nelson",Kevin Miles
BO27,History Health,20000.0,26000.0,292,Book,Clay-Boyer,Eric Wilson
BO28,Mystery Novel Leg,124000.0,216000.0,427,Book,"Hawkins, Wade and Allen",Sheila West
TO18,RC Car Medical,96000.0,124000.0,433,Toy,"Smith, Jones and Hamilton",Martha Goodman
BO29,Fantasy Finish,201000.0,348000.0,433,Book,"King, Gomez and Moreno",Shane Allen
ST20,Notebook Operation,378000.0,605000.0,57,Stationary,Alvarez PLC,Jose Hernandez
TO19,Playset Home,473000.0,721000.0,94,Toy,"Padilla, Torres and Thomas",George Escobar
TO20,RC Car Off,314000.0,470000.0,240,Toy,"Sanchez, Rogers and Henderson",Nathan Rose
TO21,Barbie Doll Chair,361000.0,633000.0,315,Toy,Young-Walters,Kevin Wilkins
TO22,Drone Like,374000.0,544000.0,126,Toy,Moreno-White,Cynthia Fowler
ST21,Pen Country,395000.0,687000.0,332,Stationary,Chan-Diaz,Donna Quinn
ST22,Scissors Memory,213000.0,345000.0,178,Stationary,Hall-Lucas,Kevin Hanna
BO30,Biography Rise,388000.0,560000.0,123,Book,Bullock-Benitez,Christopher Morales
BO31,Fantasy North,22000.0,39000.0,384,Book,Jones-Jordan,Mary Pearson
BO32,Self-help Agency,485000.0,610000.0,391,Book,Harrison Inc,Diamond Price
TO23,Playset Writer,431000.0,736000.0,153,Toy,Johnson PLC,Brian Bush
TO24,Drone Employee,445000.0,601000.0,213,Toy,Roberts-Wheeler,Amanda Taylor
ST23,Tape Effect,265000.0,433000.0,171,Stationary,"Strickland, Martin and Ramirez",Victoria Brown
TO25,Barbie Doll None,172000.0,309000.0,155,Toy,Anderson-Peterson,Brandon Bradford
ST24,Pen Occur,344000.0,492000.0,393,Stationary,Young-Nguyen,Meagan Lowe
TO26,Barbie Doll Edge,390000.0,609000.0,492,Toy,"Mueller, Black and Shields",Yvette Lee
TO27,Drone Design,328000.0,547000.0,477,Toy,"Barnes, Lindsey and Mitchell",Jason Wells
ST25,Tape Order,161000.0,225000.0,63,Stationary,"Martinez, Aguirre and Rodriguez",Johnny Evans
ST26,Tape National,498000.0,711000.0,267,Stationary,Mcguire-Davis,Martin Anderson
ST27,Tape Avoid,414000.0,649000.0,405,Stationary,Garza Ltd,Sara Mays
TO28,Lego Set Decade,231000.0,312000.0,465,Toy,Vega-Pollard,William Miller
BO33,Sci-Fi Trial,416000.0,712000.0,27,Book,Leblanc PLC,Mercedes Rogers
BO34,Self-help Help,453000.0,555000.0,171,Book,"Carney, Bowman and Mckay",Rachel Clark
ST28,Scissors Better,278000.0,429000.0,489,Stationary,Johnson-Carey,Sarah Murphy
BO35,Mystery Novel Behind,429000.0,618000.0,20,Book,Johnson-Turner,Cody Estrada
BO36,Sci-Fi Fear,493000.0,647000.0,191,Book,"Nunez, Park and Velazquez",Daniel Phillips
ST29,Scissors Easy,244000.0,411000.0,356,Stationary,"Davis, Andrews and Taylor",Michelle Prince
BO37,Mystery Novel Happen,408000.0,628000.0,53,Book,"Medina, Hoffman and Gray",Thomas Washington
ST30,Notebook Write,381000.0,495000.0,142,Stationary,Park-Baker,Sean Riley
TO29,RC Car Recognize,41000.0,72000.0,132,Toy,Vazquez-Pham,Kevin Jacobs
ST31,Marker First,54000.0,78000.0,148,Stationary,Jones-Gentry,Christopher Hayes
BO38,Fantasy Half,394000.0,582000.0,47,Book,Rodriguez Ltd,Hannah Griffin
ST32,Stapler Establish,291000.0,381000.0,177,Stationary,Perry-Gibson,Anne Hart
ST33,Marker Tax,44000.0,74000.0,322,Stationary,Washington Ltd,Christina Brennan
BO39,History Area,454000.0,635000.0,160,Book,Mckenzie-Edwards,Timothy Powell
TO30,Playset Good,126000.0,201000.0,403,Toy,"Miller, Weaver and Brown",Brandon Harris
ST34,Tape Attorney,175000.0,290000.0,368,Stationary,Douglas PLC,Kelly Randall
TO31,Barbie Doll Choice,156000.0,241000.0,104,Toy,Jones-Wilson,Kathy Johnson
BO40,History Walk,127000.0,194000.0,320,Book,Baker-Poole,Ryan Allen
ST35,Pen Group,59000.0,73000.0,242,Stationary,Chandler PLC,Barbara Herman
ST36,Marker Room,405000.0,524000.0,211,Stationary,Murillo Inc,Steven White
ST37,Stapler Relate,323000.0,401000.0,281,Stationary,Carlson-Miller,Lawrence Rodriguez
TO32,Drone Ahead,235000.0,373000.0,135,Toy,Wilson LLC,James Harris
BO41,Biography Remain,408000.0,638000.0,121,Book,Phillips-Green,Amanda Lawrence DDS
BO42,Self-help About,289000.0,406000.0,416,Book,"Walker, Edwards and Nunez",James Chavez
ST38,Stapler Election,222000.0,372000.0,386,Stationary,Wallace LLC,Christopher Jordan
ST39,Stapler Run,453000.0,742000.0,171,Stationary,"Johns, Bush and Norman",Kenneth James
BO43,Sci-Fi Enter,202000.0,353000.0,243,Book,Hamilton-Anderson,Amanda Franklin
BO44,Biography Understand,301000.0,518000.0,64,Book,"Green, Martinez and Robles",Anthony Carrillo
ST40,Notebook Take,232000.0,348000.0,476,Stationary,"Woodard, Scott and Rodriguez",Richard Sosa
ST41,Tape Before,381000.0,559000.0,434,Stationary,"Bell, Fernandez and Fernandez",William Clarke
ST42,Pen Require,87000.0,107000.0,383,Stationary,Bolton-Day,Wendy Wright
BO45,Sci-Fi Raise,106000.0,187000.0,456,Book,Garcia-Wilson,Jordan Drake
BO46,History Center,416000.0,642000.0,130,Book,"Zavala, Porter and Morgan",Lisa Carroll
TO33,Playset Whose,9000.0,13000.0,346,Toy,Lang-Daniel,Lisa Thomas
BO47,Biography Them,181000.0,275000.0,338,Book,Schultz LLC,Justin Sullivan
ST43,Tape Decision,207000.0,337000.0,168,Stationary,"Larson, Little and Jones",Joseph Flowers
TO34,Lego Set Blue,232000.0,329000.0,215,Toy,Jones-Thomas,Jacqueline Walker
TO35,RC Car Cup,129000.0,195000.0,439,Toy,Reed Inc,Michael Beard
BO48,Mystery Novel Particular,315000.0,435000.0,255,Book,"Perkins, Meyers and Quinn",Steven Nielsen
TO36,Scooter But,236000.0,374000.0,482,Toy,Conley-Chase,Ryan Boyd
ST44,Scissors Hold,223000.0,288000.0,374,Stationary,"Frederick, Little and Duke",Isaac Valdez
BO49,Mystery Novel Stuff,75000.0,120000.0,104,Book,Johnston PLC,Anita Black
ST45,Notebook Station,156000.0,190000.0,258,Stationary,Wilson Group,Michelle Everett
BO50,Mystery Novel Measure,494000.0,813000.0,420,Book,Clark and Sons,Emily Morris
BO51,Sci-Fi Power,329000.0,445000.0,85,Book,Carter Ltd,Michael Parsons
BO52,Mystery Novel Century,350000.0,542000.0,407,Book,"Rosales, Fox and Hansen",Mark Poole
BO53,Self-help Every,36000.0,48000.0,222,Book,Oneill Group,Leslie Gonzalez
TO37,RC Car Wrong,500000.0,892000.0,329,Toy,"Gross, Ramirez and Cervantes",Eric Rios
ST46,Pen Phone,483000.0,729000.0,268,Stationary,Spencer-Dunn,Cole Foster
TO38,Drone Again,152000.0,186000.0,329,Toy,"Fisher, Lopez and Jones",Heather Hernandez
ST47,Stapler Skin,39000.0,66000.0,294,Stationary,Kennedy-Webb,Kelli Cook
ST48,Scissors Choose,369000.0,491000.0,93,Stationary,"Anderson, Thompson and Sexton",Daniel Berry
BO54,Fantasy Part,369000.0,619000.0,173,Book,Walker Inc,Jonathon Thompson
TO39,Scooter Game,308000.0,398000.0,120,Toy,"Cruz, Wilson and Gomez",Michael Ramsey
TO40,Barbie Doll Popular,126000.0,156000.0,491,Toy,Adams-Dean,Frank King
BO55,Mystery Novel Most,450000.0,630000.0,282,Book,Mitchell-Higgins,Ricky Crane
TO41,Barbie Doll Senior,327000.0,411000.0,343,Toy,"Robertson, Payne and Garcia",April Gaines
TO42,Lego Set Thing,270000.0,478000.0,149,Toy,Frederick-Haley,Andrew Perry
TO43,Lego Set Seem,141000.0,249000.0,219,Toy,Stone PLC,Benjamin Watkins
TO44,RC Car Father,41000.0,67000.0,30,Toy,Kidd Inc,Jennifer Faulkner
BO56,Sci-Fi Boy,397000.0,581000.0,403,Book,"Walker, Thompson and Gibbs",John Pace
BO57,History Whose,436000.0,741000.0,70,Book,"Newton, Wright and Kelly",Brittney Brady
BO58,Biography Over,341000.0,595000.0,262,Book,Wright-Stokes,Wanda Jones
BO59,Mystery Novel Year,489000.0,786000.0,480,Book,"Marshall, Hernandez and Arnold",Michelle Reid
ST49,Tape Arm,471000.0,629000.0,146,Stationary,Mccoy and Sons,Christina Nichols
ST50,Marker Local,180000.0,315000.0,284,Stationary,"Schmidt, Waters and Wallace",Dr. Ethan Calhoun
TO45,Lego Set Any,83000.0,145000.0,440,Toy,"Morris, James and Woods",Kimberly Gutierrez
TO46,Scooter According,312000.0,419000.0,396,Toy,Martin Group,Lisa Davis
ST51,Notebook Prove,69000.0,98000.0,137,Stationary,"Chambers, Ryan and Wilson",Carl Williams
ST52,Notebook Move,285000.0,346000.0,498,Stationary,Robinson-Mcneil,Judith Weber
ST53,Stapler Hospital,287000.0,437000.0,449,Stationary,"Harper, Booker and Vargas",Jillian Chavez
ST54,Tape Return,391000.0,595000.0,398,Stationary,"Leblanc, Carter and Ryan",James Newton
ST55,Tape Type,192000.0,345000.0,48,Stationary,King-George,Joann Quinn
ST56,Scissors Inside,455000.0,632000.0,231,Stationary,"Compton, Santos and Chapman",Brittany Ramirez
ST57,Pen West,355000.0,550000.0,62,Stationary,Colon-Gutierrez,Billy Campbell
ST58,Notebook Remember,400000.0,528000.0,351,Stationary,Blanchard Group,Zachary Tran
ST59,Tape Air,14000.0,18000.0,77,Stationary,"Rivera, King and Aguirre",Brian Nguyen
TO47,Playset Across,459000.0,734000.0,29,Toy,"Little, Estrada and Valencia",Colton Davenport
BO60,Sci-Fi Generation,86000.0,134000.0,72,Book,"Rodriguez, Jensen and Anderson",Melissa Scott
BO61,Self-help Hospital,193000.0,265000.0,88,Book,Green and Sons,Chelsea Mann
ST60,Scissors Beat,436000.0,773000.0,493,Stationary,"Ellis, Cole and Smith",Peter Jarvis
ST61,Marker Explain,473000.0,776000.0,383,Stationary,"Carpenter, Willis and Smith",Justin Jackson
ST62,Tape Month,318000.0,390000.0,182,Stationary,Perry Group,Christopher Schneider
TO48,Playset Chance,114000.0,176000.0,135,Toy,"Lamb, Erickson and Le",Richard Vaughn
ST63,Stapler Movement,51000.0,88000.0,412,Stationary,"Dickson, Gardner and Davies",Susan Fuentes
TO49,Scooter Likely,206000.0,282000.0,15,Toy,Neal Group,Evelyn Tyler
BO62,Fantasy Position,39000.0,53000.0,489,Book,"Stokes, Sanchez and Dawson",Elizabeth Smith
TO50,Playset Interest,461000.0,602000.0,458,Toy,"Maldonado, Zavala and Richardson",Jason Robles
TO51,Playset Control,58000.0,90000.0,133,Toy,Gomez-Weber,Amanda Turner
TO52,Lego Set Song,198000.0,303000.0,129,Toy,Evans Ltd,Ricky Dennis
TO53,Scooter Important,7000.0,12000.0,363,Toy,Bryant and Sons,Michael Rice
ST64,Pen Across,189000.0,234000.0,271,Stationary,Garcia and Sons,Mrs. Janet Beard
ST65,Tape Level,195000.0,337000.0,222,Stationary,Moreno-Wilson,Sonya Shannon
TO54,Lego Set Clear,466000.0,575000.0,80,Toy,Robertson-Cooper,Jason Lozano
BO63,Mystery Novel Help,313000.0,448000.0,144,Book,"Medina, Benjamin and Bradley",Adrienne Long
TO55,Scooter Religious,134000.0,188000.0,188,Toy,Anderson-Hooper,Christopher Cox
ST66,Scissors Education,393000.0,563000.0,436,Stationary,Williams-Owens,Rachel Watson
BO64,Mystery Novel Energy,279000.0,406000.0,493,Book,Alexander-Moses,David Odonnell
TO56,Playset Than,354000.0,501000.0,479,Toy,Green-Martin,Rita Bolton
BO65,Self-help Kind,394000.0,601000.0,170,Book,Herrera-Garcia,David Moore
TO57,Playset Hear,66000.0,103000.0,475,Toy,"Salinas, Patel and Cook",Natasha Fuller
BO66,Mystery Novel Area,368000.0,577000.0,228,Book,"Myers, Thompson and Dunlap",Ronald Russo
BO67,History Until,352000.0,594000.0,115,Book,Robinson PLC,James Reynolds
TO58,Playset Above,213000.0,322000.0,100,Toy,Pierce-Morales,Tina Alvarado
ST67,Scissors Every,455000.0,618000.0,260,Stationary,Glenn-Melendez,Heather Martinez
ST68,Tape But,283000.0,426000.0,201,Stationary,Lin Ltd,Molly Cox
ST69,Notebook Take,62000.0,95000.0,378,Stationary,Moore-Cross,Katherine Hamilton
TO59,Drone Happy,223000.0,277000.0,118,Toy,"Baker, Wade and Rodriguez",Jill Foley
ST70,Marker Political,324000.0,487000.0,104,Stationary,"Navarro, Hernandez and Clarke",Vanessa Chase
TO60,Lego Set Poor,415000.0,667000.0,116,Toy,"Taylor, Rodgers and Smith",John Scott
BO68,Self-help Finish,82000.0,102000.0,363,Book,Sosa-Schroeder,Donna Bowman
ST71,Stapler Evening,93000.0,163000.0,243,Stationary,"Walls, Baldwin and Davis",Diana Francis
TO61,Playset Shoulder,486000.0,713000.0,114,Toy,Morton-Gutierrez,Crystal Crawford
TO62,Drone Right,324000.0,503000.0,321,Toy,Ellison Group,John Simmons
BO69,Sci-Fi Popular,169000.0,233000.0,453,Book,"King, Garner and Massey",Mark Woods
TO63,Playset Produce,331000.0,457000.0,71,Toy,Mcconnell-Johnson,Kyle Ball
BO70,Fantasy Defense,33000.0,55000.0,403,Book,Cowan and Sons,Sharon Martinez
ST72,Pen Per,318000.0,513000.0,82,Stationary,"Vance, Irwin and Martin",Joseph Gross
ST73,Tape Statement,479000.0,728000.0,134,Stationary,"Roberts, Clayton and Alvarez",Caitlin Montes
TO64,Scooter Raise,306000.0,497000.0,239,Toy,Sanchez-Calderon,Brian Price
BO71,History Follow,132000.0,162000.0,270,Book,Anderson Inc,Jamie Baker
TO65,RC Car Focus,343000.0,456000.0,496,Toy,Smith and Sons,Stuart Olsen
BO72,Mystery Novel It,279000.0,364000.0,141,Book,"Hunt, Gregory and Rangel",Henry Mosley
BO73,Fantasy Here,382000.0,613000.0,323,Book,Davidson PLC,Marie Bush
TO66,RC Car Course,425000.0,659000.0,190,Toy,"Martin, Martinez and Mayo",Joseph Francis
TO67,Barbie Doll Much,162000.0,267000.0,399,Toy,"Nguyen, Fleming and Chandler",Elaine Cooper
BO74,Sci-Fi Section,10000.0,18000.0,414,Book,"Garcia, Morales and Jacobs",Alexis Smith
TO68,Drone Particular,356000.0,486000.0,298,Toy,"Shaw, Duncan and Green",Kimberly Padilla
BO75,Sci-Fi Study,144000.0,211000.0,352,Book,Reynolds PLC,Mrs. Jessica Matthews MD
ST74,Stapler Down,224000.0,390000.0,475,Stationary,Flowers-Gray,Eric Davis
ST75,Notebook There,243000.0,315000.0,157,Stationary,Benton Inc,Jose Johnson
TO69,Barbie Doll These,418000.0,542000.0,269,Toy,Green Ltd,Andrew Nguyen
ST76,Notebook Paper,391000.0,539000.0,368,Stationary,Young and Sons,Rebecca Wagner
ST77,Pen Call,499000.0,759000.0,444,Stationary,Ibarra-Lopez,Richard Sims
ST78,Scissors Necessary,180000.0,303000.0,460,Stationary,Miller-Howard,James Meyer
BO76,Fantasy Tonight,371000.0,562000.0,261,Book,"Mathis, Butler and Hoover",Ricky Turner
ST79,Marker Media,33000.0,50000.0,473,Stationary,"Maldonado, Bennett and Larson",Leslie Sanders
ST80,Pen That,19000.0,27000.0,78,Stationary,Reed-Andrews,Paula Walters
BO77,Self-help Class,220000.0,392000.0,308,Book,"Daniels, Green and Peterson",Brittney Melendez
BO78,Sci-Fi Computer,246000.0,332000.0,416,Book,Turner-Wilson,Christina Reynolds
TO70,Barbie Doll Alone,393000.0,678000.0,146,Toy,Herrera-Campbell,Kaylee Tran
TO71,Barbie Doll Nice,107000.0,145000.0,89,Toy,"Richards, Walker and Vazquez",Bryan Davis
TO72,Lego Set National,126000.0,210000.0,250,Toy,Williams-Davis,Ms. Amber Garrett
BO79,Self-help That,233000.0,364000.0,19,Book,"Shaffer, Garner and Jones",Michelle King
BO80,Mystery Novel Power,56000.0,78000.0,178,Book,"White, Johnson and Jones",Steven Grimes
ST81,Scissors Big,192000.0,247000.0,200,Stationary,Walker LLC,Alyssa Guzman
BO81,Biography Rule,286000.0,401000.0,169,Book,"Ramirez, Patterson and Smith",Richard Jefferson
ST82,Notebook Level,117000.0,173000.0,255,Stationary,"Norris, Taylor and Garcia",Joanna Johnson
TO73,Drone Professional,129000.0,192000.0,33,Toy,"Hansen, Chen and Flores",Erik Ewing
BO82,Mystery Novel Skin,132000.0,215000.0,346,Book,Patel-Pena,Ashley Dixon
BO83,Sci-Fi Measure,224000.0,324000.0,177,Book,Sullivan-Kelly,Nathan Mullen
TO74,Drone Official,276000.0,335000.0,288,Toy,Andrews-Villegas,Amanda Turner
BO84,Sci-Fi Month,52000.0,80000.0,23,Book,Diaz-Allen,Brenda Goodman DDS
TO75,Scooter Shoulder,425000.0,747000.0,281,Toy,Griffin-Lara,Marcus Walls
BO85,Biography Impact,421000.0,606000.0,198,Book,"Reynolds, Scott and Thomas",Lori Keller
TO76,Barbie Doll Dog,398000.0,644000.0,92,Toy,"Burton, Wood and Robbins",Jessica Davis
TO77,Barbie Doll After,169000.0,255000.0,340,Toy,Garcia-Cooper,Wesley Johnson
ST83,Marker Increase,131000.0,169000.0,227,Stationary,Mcdonald Group,William Alexander
ST84,Tape Get,113000.0,190000.0,479,Stationary,Campos-Green,Wanda Pearson
TO78,Drone Seat,206000.0,294000.0,16,Toy,Brown LLC,Linda Stone
BO86,Biography Poor,130000.0,209000.0,247,Book,Harper-Hayes,Dana Snow
ST85,Marker Or,293000.0,498000.0,383,Stationary,"Boyd, Bradshaw and Miller",Carlos Allen
TO79,Lego Set Expert,19000.0,28000.0,371,Toy,Schwartz-Gallegos,Laura Hunter
TO80,Scooter Tonight,400000.0,611000.0,404,Toy,"Hall, Johnson and Aguirre",Nicole Smith MD
ST86,Stapler Husband,168000.0,300000.0,475,Stationary,Farrell Inc,Jared Friedman
ST87,Stapler Gas,291000.0,414000.0,223,Stationary,"Moore, Jones and Smith",Mark Neal
TO81,Barbie Doll Allow,318000.0,517000.0,378,Toy,Black-Sparks,Krista Miller
ST88,Tape Out,221000.0,294000.0,87,Stationary,Reyes Inc,Joshua Smith
TO82,Scooter Stand,310000.0,393000.0,253,Toy,"Conrad, Kent and Mccarthy",Christopher Conley
ST89,Scissors Move,422000.0,651000.0,372,Stationary,"Johnston, Perkins and Hahn",Allison Gould DDS
BO87,Self-help Large,267000.0,425000.0,105,Book,Keith-Sanchez,Jeffrey Collins
TO83,Barbie Doll East,57000.0,70000.0,119,Toy,Page PLC,Gary Figueroa
TO84,Playset Set,120000.0,172000.0,183,Toy,Cook-Reynolds,Brittany Marshall
TO85,Lego Set Into,411000.0,540000.0,475,Toy,Davis-Griffith,Stephanie Khan
ST90,Marker Someone,311000.0,545000.0,264,Stationary,Mitchell Group,Carolyn Herrera
TO86,Playset Red,114000.0,183000.0,327,Toy,Soto-Andrews,Sandra Rice
BO88,Self-help Member,222000.0,349000.0,24,Book,Johnson PLC,Cassandra Kramer
ST91,Pen Fill,279000.0,379000.0,289,Stationary,Moore-Morales,Emily King
ST92,Marker It,16000.0,23000.0,305,Stationary,Rodriguez Inc,James Kennedy
ST93,Notebook Catch,57000.0,69000.0,381,Stationary,"Herring, Phillips and Hurley",Kurt Graves
BO89,Mystery Novel Expert,388000.0,639000.0,414,Book,Scott-Peters,Jasmine Castro
TO87,RC Car Into,193000.0,300000.0,277,Toy,Lane Group,Billy Williams
ST94,Scissors Executive,269000.0,473000.0,182,Stationary,Gonzales-Smith,Caroline Molina
ST95,Scissors Remain,350000.0,562000.0,466,Stationary,"Murphy, Vasquez and Collier",Connor Schneider
BO90,History Summer,485000.0,868000.0,272,Book,Gray-Taylor,Andrew Patrick
TO88,Scooter Bill,114000.0,153000.0,280,Toy,Duffy Inc,Alan Powers
BO91,Biography Tend,323000.0,509000.0,43,Book,Hawkins and Sons,James Parker
ST96,Stapler Within,171000.0,241000.0,193,Stationary,"Singh, Harris and Roberts",Susan Jones
TO89,Playset Despite,337000.0,566000.0,321,Toy,Thomas and Sons,Danielle Barry
TO90,Scooter New,85000.0,153000.0,362,Toy,Greene Group,Robert King
TO91,Playset Week,335000.0,519000.0,104,Toy,Gill Inc,Jaime Gibbs
BO92,Fantasy Past,454000.0,802000.0,224,Book,Young-Goodman,Heather Gibson
TO92,RC Car Raise,481000.0,686000.0,289,Toy,"Knox, Hernandez and Erickson",Rebecca Cole
ST97,Stapler Situation,438000.0,699000.0,499,Stationary,"Little, Mclaughlin and Yates",Amy Reed
TO93,Barbie Doll Now,86000.0,124000.0,149,Toy,Turner-Griffin,Lori Wilson
BO93,Sci-Fi Figure,214000.0,324000.0,39,Book,Tucker and Sons,Shawn Rogers
BO94,Fantasy Million,409000.0,690000.0,320,Book,Gonzalez and Sons,Dennis Moore
ST98,Scissors Sense,387000.0,478000.0,110,Stationary,"Davis, Branch and Brown",Jamie Miller
BO95,Biography Before,295000.0,471000.0,129,Book,Rodriguez-Hernandez,Michael Daniel
BO96,Mystery Novel Full,338000.0,592000.0,110,Book,Baker-Miller,Carolyn Buchanan
BO97,Fantasy I,152000.0,183000.0,56,Book,Allen PLC,Carrie Bell
TO94,RC Car Position,341000.0,453000.0,241,Toy,Williams Group,Cynthia Rhodes
BO98,Fantasy Social,308000.0,414000.0,292,Book,Spencer-Jackson,Emily Nash
TO95,Playset Ago,33000.0,52000.0,47,Toy,"Griffin, Mendez and Stout",Eric Green
TO96,Drone Join,327000.0,537000.0,216,Toy,"Espinoza, Mccarty and Velez",Grace Mccormick
TO97,RC Car Out,283000.0,504000.0,435,Toy,Johnson and Sons,Ashley Hill
ST99,Pen Situation,315000.0,416000.0,319,Stationary,Olson-Price,Kristen Moran
BO99,Mystery Novel Detail,492000.0,600000.0,215,Book,Hancock-Barber,Joshua Ramirez
ST100,Marker Term,39000.0,50000.0,175,Stationary,"Scott, Francis and Bishop",Melanie Willis
ST101,Marker Development,194000.0,320000.0,446,Stationary,Fritz Group,David Yates
TO98,Drone List,177000.0,217000.0,318,Toy,Garner-Fowler,Mike Patterson
BO100,Fantasy Special,198000.0,291000.0,377,Book,Phelps Ltd,Kathryn Lara
BO101,Mystery Novel Soldier,330000.0,513000.0,34,Book,Sullivan-Hill,Hannah Howard
BO102,History House,164000.0,268000.0,136,Book,"Taylor, Holden and Smith",Brandy Diaz
ST102,Stapler Wife,234000.0,288000.0,11,Stationary,Snyder-Roach,Danielle Harris
BO103,Sci-Fi Much,80000.0,134000.0,94,Book,Henderson LLC,John Davis
TO99,RC Car Sell,157000.0,193000.0,186,Toy,Jackson and Sons,Robert Rivera
ST103,Notebook Bit,37000.0,64000.0,19,Stationary,Wilson Group,Rachael Willis
ST104,Pen Produce,410000.0,702000.0,303,Stationary,Mcconnell-Woods,Scott Watson
BO104,Sci-Fi Consider,421000.0,516000.0,473,Book,"Powers, Turner and Gray",Gerald Scott
ST105,Notebook Turn,439000.0,572000.0,182,Stationary,Osborne-Reyes,Jill Martin
BO105,History Face,109000.0,184000.0,226,Book,Fischer Ltd,Kelly Moore
TO100,Drone Face,430000.0,608000.0,126,Toy,Howard and Sons,Tyler Sanchez
TO101,Playset Matter,280000.0,473000.0,363,Toy,"Snyder, Hensley and Harris",Tommy Clark
BO106,Mystery Novel Help,34000.0,49000.0,245,Book,"Barton, Perry and Wolfe",Kelly Nguyen
ST106,Scissors Have,465000.0,721000.0,188,Stationary,Maynard-Davis,Tyler Hawkins
BO107,Biography On,162000.0,206000.0,131,Book,Dunn Ltd,Cassandra Young
